"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ceará";"Caju";"2016";"Valor da produção (Mil Reais)";"..."
"Ceará";"Caju";"2017";"Valor da produção (Mil Reais)";"..."
"Ceará";"Caju";"2018";"Valor da produção (Mil Reais)";"..."
"Ceará";"Caju";"2019";"Valor da produção (Mil Reais)";"..."
"Ceará";"Caju";"2020";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cana-de-açúcar";"2016";"Valor da produção (Mil Reais)";"98432"
"Ceará";"Cana-de-açúcar";"2017";"Valor da produção (Mil Reais)";"99071"
"Ceará";"Cana-de-açúcar";"2018";"Valor da produção (Mil Reais)";"95934"
"Ceará";"Cana-de-açúcar";"2019";"Valor da produção (Mil Reais)";"87345"
"Ceará";"Cana-de-açúcar";"2020";"Valor da produção (Mil Reais)";"83787"
"Ceará";"Cana para forragem";"2016";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cana para forragem";"2017";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cana para forragem";"2018";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cana para forragem";"2019";"Valor da produção (Mil Reais)";"..."
"Ceará";"Cana para forragem";"2020";"Valor da produção (Mil Reais)";"..."
"Ceará";"Caqui";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Caqui";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Caqui";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Caqui";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Caqui";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Castanha de caju";"2016";"Valor da produção (Mil Reais)";"119095"
"Ceará";"Castanha de caju";"2017";"Valor da produção (Mil Reais)";"284111"
"Ceará";"Castanha de caju";"2018";"Valor da produção (Mil Reais)";"243993"
"Ceará";"Castanha de caju";"2019";"Valor da produção (Mil Reais)";"256395"
"Ceará";"Castanha de caju";"2020";"Valor da produção (Mil Reais)";"280602"
"Ceará";"Cebola";"2016";"Valor da produção (Mil Reais)";"380"
"Ceará";"Cebola";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cebola";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cebola";"2019";"Valor da produção (Mil Reais)";"2093"
"Ceará";"Cebola";"2020";"Valor da produção (Mil Reais)";"2292"
"Ceará";"Centeio (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Centeio (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Centeio (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Centeio (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Centeio (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cevada (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cevada (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cevada (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cevada (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Cevada (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Chá-da-índia (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Chá-da-índia (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Chá-da-índia (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Chá-da-índia (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Chá-da-índia (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Coco-da-baía*";"2016";"Valor da produção (Mil Reais)";"170200"
"Ceará";"Coco-da-baía*";"2017";"Valor da produção (Mil Reais)";"145361"
"Ceará";"Coco-da-baía*";"2018";"Valor da produção (Mil Reais)";"169571"
"Ceará";"Coco-da-baía*";"2019";"Valor da produção (Mil Reais)";"157742"
"Ceará";"Coco-da-baía*";"2020";"Valor da produção (Mil Reais)";"203273"
"Ceará";"Dendê (cacho de coco)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Dendê (cacho de coco)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Dendê (cacho de coco)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Dendê (cacho de coco)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Dendê (cacho de coco)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Erva-mate (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Erva-mate (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Erva-mate (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Erva-mate (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Erva-mate (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Ervilha (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Ervilha (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Ervilha (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Ervilha (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Ervilha (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Fava (em grão)";"2016";"Valor da produção (Mil Reais)";"10899"
"Ceará";"Fava (em grão)";"2017";"Valor da produção (Mil Reais)";"24352"
"Ceará";"Fava (em grão)";"2018";"Valor da produção (Mil Reais)";"20815"
"Ceará";"Fava (em grão)";"2019";"Valor da produção (Mil Reais)";"20706"
"Ceará";"Fava (em grão)";"2020";"Valor da produção (Mil Reais)";"39360"
"Ceará";"Feijão (em grão)";"2016";"Valor da produção (Mil Reais)";"241160"
"Ceará";"Feijão (em grão)";"2017";"Valor da produção (Mil Reais)";"309885"
"Ceará";"Feijão (em grão)";"2018";"Valor da produção (Mil Reais)";"270353"
"Ceará";"Feijão (em grão)";"2019";"Valor da produção (Mil Reais)";"263900"
"Ceará";"Feijão (em grão)";"2020";"Valor da produção (Mil Reais)";"439348"
"Ceará";"Figo";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Figo";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Figo";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Figo";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Figo";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Fumo (em folha)";"2016";"Valor da produção (Mil Reais)";"392"
"Ceará";"Fumo (em folha)";"2017";"Valor da produção (Mil Reais)";"324"
"Ceará";"Fumo (em folha)";"2018";"Valor da produção (Mil Reais)";"550"
"Ceará";"Fumo (em folha)";"2019";"Valor da produção (Mil Reais)";"1494"
"Ceará";"Fumo (em folha)";"2020";"Valor da produção (Mil Reais)";"1008"
"Ceará";"Girassol (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Girassol (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Girassol (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Girassol (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Girassol (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Ceará";"Goiaba";"2016";"Valor da produção (Mil Reais)";"23371"
