"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Acopiara (CE)";"Cebola";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cebola";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cebola";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cebola";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cebola";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Centeio (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Centeio (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Centeio (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Centeio (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Centeio (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cevada (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cevada (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cevada (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cevada (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Cevada (em grão)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Chá-da-índia (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Chá-da-índia (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Chá-da-índia (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Chá-da-índia (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Chá-da-índia (folha verde)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Coco-da-baía*";"2016";"Valor da produção (Mil Reais)";"8"
"Acopiara (CE)";"Coco-da-baía*";"2017";"Valor da produção (Mil Reais)";"9"
"Acopiara (CE)";"Coco-da-baía*";"2018";"Valor da produção (Mil Reais)";"30"
"Acopiara (CE)";"Coco-da-baía*";"2019";"Valor da produção (Mil Reais)";"81"
"Acopiara (CE)";"Coco-da-baía*";"2020";"Valor da produção (Mil Reais)";"166"
"Acopiara (CE)";"Dendê (cacho de coco)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Dendê (cacho de coco)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Dendê (cacho de coco)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Dendê (cacho de coco)";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Dendê (cacho de coco)";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Erva-mate (folha verde)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Erva-mate (folha verde)";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Erva-mate (folha verde)";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Erva-mate (folha verde)";"2019";"Valor da produção (Mil Reais)";"-"
