Source,Target,Weight,Season
Spice king,Daenerys,22,2
Spice king,Xaro,4,2
Stannis,Catelyn,2,2
Stannis,Davos,42,2
Stannis,Matthos,6,2
Stannis,Melisandre,16,2
Stannis,Renly,7,2
Talisa,Catelyin,1,2
Talisa,Catelyn,2,2
Talisa,Robb,47,2
Talisa,Roose bolton,1,2
The group,Melisandre,1,2
The hound,Bronn,3,2
The hound,Joffrey,3,2
The hound,Podrick,1,2
The hound,Sansa,9,2
The hound,Tyrion,4,2
The mountain,Tywin,3,2
The others at the table,Ser rodrik,1,2
The tickler,Gendry,1,2
The tickler,Prisoner,6,2
Theon,Ahsa,2,2
Theon,Balon,17,2
Theon,Black lorren,5,2
Theon,Bran,11,2
Theon,Child,1,2
Theon,Dagmer,10,2
Theon,Ironborn,1,2
Theon,Jaime,1,2
Theon,Jorah,1,2
Theon,Luwin,16,2
Theon,Osha,12,2
Theon,Robb,5,2
Theon,Rodrik,5,2
Theon,Yara,28,2
Timett,Pycelle,1,2
Trion,Shae,1,2
Twyin,Arya,1,2
Twyin,The mountain,1,2
Tyrion,Alton,1,2
Tyrion,Bronn,25,2
Tyrion,Cersei,66,2
Tyrion,Cersel,1,2
Tyrion,Cesei,1,2
Tyrion,Haylene,2,2
Tyrion,Janos,16,2
Tyrion,Joffrey,18,2
Tyrion,Lancel,25,2
Tyrion,Littlefinger,12,2
Tyrion,Meryn,1,2
Tyrion,Podrick,3,2
Tyrion,Protester,1,2
Tyrion,Pycelle,11,2
Tyrion,Ros,1,2
Tyrion,Sansa,3,2
Tyrion,Shae,32,2
Tyrion,The hound,3,2
Tyrion,Timett,1,2
Tyrion,Varys,41,2
Tywin,Amory,3,2
Tywin,Armory,1,2
Tywin,Arya,30,2
Tywin,Kevan,4,2
Tywin,Littlefinger,10,2
Tywin,Mountian,1,2
Tywin,Polliver,1,2
Tywin,Reginald,3,2
Tywin,The mountain,2,2
Varys,Baelish,1,2
Varys,Bronn,4,2
Varys,Cersei,1,2
Varys,Joffrey,1,2
Varys,Podrick,1,2
Varys,Pycelle,1,2
Varys,Ros,9,2
Varys,Shae,3,2
Varys,Tyrion,40,2
Wildling,Rattleshirt,1,2
Xaro,Daenerys,22,2
Xaro,Doreah,3,2
Xaro,Spice king,7,2
Yara,Balon,2,2
Yara,Theon,33,2
Ygritte,Jon,34,2
Ygritte,Lord of bones,4,2
Ygritte,Qhorin,5,2
Yoren,Amory,1,2
Yoren,Arya,3,2
Yoren,Gendry,1,2
Yoren,Gold cloak,2,2
